ID, Name, Guild, Class, Hat, Equipment, Neck, Fur, Eyes, Mouth
0, #1 Blocky Doge: Guilds, House of Wow, royal, poofy chef hat, cake, spiked collar, light brown, dizzy, sad teeth
1, #2 Blocky Doge: Guilds, House of Wow, knight, basic helmet, lance, coin, teal, skeptical, frown
2, #3 Blocky Doge: Guilds, League of So Scare, knight, basic helmet, great sword, coin, orange, glasses, tongue out
3, #4 Blocky Doge: Guilds, House of Wow, cleric, cleric pointed cap, antidote, coin, light brown, angry, frown
4, #5 Blocky Doge: Guilds, League of So Scare, mage, purple mage, green seeing stone, amethyst collar, teal, eyepatch, frown
5, #6 Blocky Doge: Guilds, House of Wow, mage, blue mage, staff of ice, amethyst, teal, content, happy
6, #7 Blocky Doge: Guilds, Legion of Lulz, mage, blue mage, staff of poison, magic potion, orange, skeptical, pipe
7, #8 Blocky Doge: Guilds, House of Wow, knight, kettle, torch, silver dogecoin, cream, snake, jaw drop
8, #9 Blocky Doge: Guilds, Legion of Lulz, knight, fortified helmet, bow and arrow, gold dogecoin, black and tan, tired, tongue out
9, #10 Blocky Doge: Guilds, Do Only Good Everyday Senate, mage, red mage, staff of water, silver dogecoin, black and tan, glasses, buck
10, #11 Blocky Doge: Guilds, 420 Syndicate, bard, dark purple cloak, lute, coin, black and tan, dead, gasp
11, #12 Blocky Doge: Guilds, Legion of Lulz, bard, teal cloak, wood flute, coin, inverted orange, forlorn, small
12, #13 Blocky Doge: Guilds, League of So Scare, knight, bomb, short sword, coin, light brown, tired, grey mustache
13, #14 Blocky Doge: Guilds, 420 Syndicate, knight, basic helmet, great sword, coin, sesame, confused, wide grin
14, #15 Blocky Doge: Guilds, League of So Scare, mage, purple mage, staff of ice, silver dogecoin, purple, cheerful, eating mutton
15, #16 Blocky Doge: Guilds, League of So Scare, mage, red mage, staff of fire, coin, orange, dazed, small
16, #17 Blocky Doge: Guilds, League of So Scare, knight, kettle, spear, silver dogecoin, orange, glow, pipe
17, #18 Blocky Doge: Guilds, Legion of Lulz, mage, blue mage, staff of ice, coin, sesame, beads, gasp
18, #19 Blocky Doge: Guilds, Legion of Lulz, knight, none, gold spear, Legion of lulz tabard, sesame, content, teeth frown
19, #20 Blocky Doge: Guilds, League of So Scare, mage, purple mage, staff of ice, magic potion, black and tan, glow, flat
20, #21 Blocky Doge: Guilds, Legion of Lulz, knight, basic helmet, short sword, magic potion, sesame, sleepy, eeee
21, #22 Blocky Doge: Guilds, House of Wow, mage, purple mage, staff of electricity, coin, sesame, wide awake, panting
22, #23 Blocky Doge: Guilds, League of So Scare, mage, blue mage, gold dust, coin, orange, dizzy, wide flat
23, #24 Blocky Doge: Guilds, 420 Syndicate, knight, fortified helmet, short sword, coin, inverted orange, hearts, buck
24, #25 Blocky Doge: Guilds, Do Only Good Everyday Senate, mage, purple mage, staff of water, gold dogecoin, black and tan, angry, jaw drop
25, #26 Blocky Doge: Guilds, House of Wow, rogue, green hood, key collection, gold dogecoin, black and tan, dazed, jaw drop
26, #27 Blocky Doge: Guilds, House of Wow, bard, teal cloak, lute, coin, zombie, stark, small
27, #28 Blocky Doge: Guilds, Legion of Lulz, cleric, cleric pointed cap, fire protection potions, coin, sesame, unamused, crazy smile
28, #29 Blocky Doge: Guilds, Do Only Good Everyday Senate, rogue, brown hood, key collection, coin, inverted orange, angry, mustache
29, #30 Blocky Doge: Guilds, Do Only Good Everyday Senate, knight, basic helmet, red handle sword, amethyst collar, sesame, cross eyed, teeth frown
30, #31 Blocky Doge: Guilds, House of Wow, bard, blue cloak, lute, coin, cream, rolling, jaw drop
31, #32 Blocky Doge: Guilds, Do Only Good Everyday Senate, knight, basic helmet, short sword, spiked collar, light brown, nervous, meh
32, #33 Blocky Doge: Guilds, Legion of Lulz, bard, none, pan flute, coin, light brown, dead, uhhhh
33, #34 Blocky Doge: Guilds, Legion of Lulz, mage, green mage, staff of ice, vial of light, teal, snake, uhhhh
34, #35 Blocky Doge: Guilds, Do Only Good Everyday Senate, mage, red mage, gold dust, coin, orange, look left, teeth frown
35, #36 Blocky Doge: Guilds, Do Only Good Everyday Senate, mage, blue mage, staff of earth, coin, light pink, chill, oooo
36, #37 Blocky Doge: Guilds, League of So Scare, knight, kettle, battle axe, coin, red, content, buck
37, #38 Blocky Doge: Guilds, Legion of Lulz, rogue, dark hood, throwing knives, silver dogecoin, light brown, wink, gasp
38, #39 Blocky Doge: Guilds, League of So Scare, knight, basic helmet, great sword, coin, orange, anxious, gold teeth
39, #40 Blocky Doge: Guilds, Do Only Good Everyday Senate, rogue, dark hood, poison potion, coin, sesame, stark, eeee
40, #41 Blocky Doge: Guilds, Legion of Lulz, rogue, dark hood, dagger, bell collar, red, drowsy, frown
41, #42 Blocky Doge: Guilds, Legion of Lulz, rogue, purple hood, dagger, sapphire collar, light pink, cross eyed, drool
42, #43 Blocky Doge: Guilds, Do Only Good Everyday Senate, knight, basic helmet, battle axe, coin, light brown, wide awake, goatee
43, #44 Blocky Doge: Guilds, Legion of Lulz, knight, fortified helmet, battle axe, amethyst collar, light brown, dazed, curly thin mustache
44, #45 Blocky Doge: Guilds, Legion of Lulz, knight, basic helmet, bow and arrow, bell collar, cream, upset, wide uhhh
45, #46 Blocky Doge: Guilds, League of So Scare, knight, kettle, great sword, coin, black and tan, look left, wide grin
46, #47 Blocky Doge: Guilds, League of So Scare, knight, fortified helmet, torch, coin, purple, eyepatch, frown
47, #48 Blocky Doge: Guilds, Do Only Good Everyday Senate, knight, fortified helmet, gold spear, coin, light pink, forlorn, wide flat
48, #49 Blocky Doge: Guilds, League of So Scare, mage, blue mage, gold dust, health potion, orange, beads, troll
49, #50 Blocky Doge: Guilds, Do Only Good Everyday Senate, knight, none, bow and arrow, spiked collar, sesame, hearts, large smile
50, #51 Blocky Doge: Guilds, League of So Scare, bard, blue cloak, wood flute, sapphire collar, sesame, glasses, pipe
51, #52 Blocky Doge: Guilds, Legion of Lulz, knight, kettle, lance, coin, light brown, dazed, gold teeth
52, #53 Blocky Doge: Guilds, Legion of Lulz, knight, fortified helmet, short sword, coin, orange, confused, smirk
53, #54 Blocky Doge: Guilds, Do Only Good Everyday Senate, cleric, cleric pointed cap, awakening herbs, coin, light brown, confused, sad teeth
54, #55 Blocky Doge: Guilds, 420 Syndicate, mage, blue mage, staff of electricity, spiked collar, orange, beads, grimacing
55, #56 Blocky Doge: Guilds, 420 Syndicate, knight, basic helmet, short sword, coin, light brown, look left, frown
56, #57 Blocky Doge: Guilds, Legion of Lulz, knight, helmet and buckle, lance, gold dogecoin, light brown, rolling, oooo
