number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
1001, 0.368687, 0.166347, 0.170795, 0.1171, 0.09447, 0.067687, 0.014914, 0.714299, 0.4587, 0.614894, 0.425353, 18.56
1002, 0.375121, 0.167262, 0.162554, 0.11309, 0.093157, 0.07099, 0.017825, 0.557606, 0.364618, 0.693557, 0.66629, 17.76
1003, 0.379452, 0.164945, 0.169663, 0.10964, 0.092989, 0.067406, 0.015905, 0.704793, 0.383008, 0.645302, 0.542019, 19.46
1004, 0.364022, 0.170944, 0.17085, 0.113337, 0.092387, 0.073222, 0.015238, 0.523078, 0.536649, 0.652098, 0.663257, 17.97
1005, 0.354915, 0.171399, 0.168786, 0.11907, 0.096649, 0.071427, 0.017754, 0.639966, 0.488258, 0.622889, 0.547194, 19.46
1006, 0.364123, 0.173145, 0.161941, 0.119257, 0.09522, 0.06998, 0.016333, 0.682236, 0.397824, 0.583865, 0.52778, 19
1007, 0.367414, 0.161353, 0.176423, 0.115755, 0.095811, 0.068526, 0.014717, 0.773901, 0.475365, 0.670148, 0.657591, 16.66
1008, 0.375238, 0.165497, 0.169324, 0.111414, 0.092521, 0.071389, 0.014617, 0.766419, 0.460614, 0.685672, 0.648594, 17.8
1009, 0.370621, 0.155102, 0.146652, 0.127961, 0.115687, 0.068476, 0.015501, 0.487832, 0.58669, 0.634915, 0.477013, 17.04
1010, 0.357103, 0.168339, 0.167638, 0.127362, 0.093616, 0.072546, 0.013395, 0.659175, 0.669167, 0.702541, 0.435542, 17.54
1011, 0.325502, 0.180575, 0.172153, 0.137221, 0.096901, 0.073368, 0.014282, 0.646589, 0.612989, 0.710885, 0.545118, 20.47
1012, 0.375878, 0.167189, 0.163854, 0.116554, 0.092543, 0.065734, 0.018249, 0.635633, 0.530799, 0.627092, 0.639048, 17.62
1013, 0.368074, 0.170403, 0.163677, 0.113863, 0.097459, 0.070447, 0.016076, 0.679294, 0.553885, 0.562318, 0.358201, 19.08
1014, 0.357773, 0.174496, 0.163581, 0.114078, 0.096366, 0.075041, 0.018667, 0.723923, 0.467604, 0.723787, 0.747405, 17.03
1015, 0.368933, 0.169831, 0.165244, 0.117588, 0.096082, 0.064913, 0.017408, 0.63509, 0.312456, 0.586611, 0.618869, 16.7
1016, 0.367775, 0.166107, 0.165267, 0.116553, 0.09769, 0.069573, 0.017034, 0.588563, 0.485109, 0.642586, 0.685803, 18.98
1017, 0.362471, 0.177153, 0.16114, 0.114066, 0.099634, 0.069448, 0.016088, 0.715746, 0.418474, 0.610253, 0.615646, 16.88
1018, 0.364705, 0.172055, 0.160059, 0.119371, 0.097309, 0.071533, 0.014968, 0.598134, 0.439608, 0.665732, 0.72023, 20.21
1019, 0.377913, 0.163146, 0.159783, 0.119062, 0.095836, 0.068438, 0.015822, 0.682917, 0.365189, 0.608907, 0.538997, 18.99
1020, 0.333891, 0.182342, 0.173398, 0.121592, 0.10244, 0.073246, 0.013091, 0.585181, 0.577515, 0.733466, 0.567015, 20.78
1021, 0.339886, 0.175973, 0.18, 0.122925, 0.096885, 0.072972, 0.011358, 0.61657, 0.682861, 0.850685, 0.619104, 20.12
1022, 0.3508, 0.1749, 0.171602, 0.121757, 0.094167, 0.075693, 0.011081, 0.609432, 0.627908, 0.633256, 0.547221, 17.48
1023, 0.345896, 0.177474, 0.169731, 0.125966, 0.097518, 0.071034, 0.012381, 0.734914, 0.720369, 0.760778, 0.498551, 22.79
1024, 0.360462, 0.170613, 0.162547, 0.121065, 0.094246, 0.073226, 0.017842, 0.698629, 0.500154, 0.609973, 0.606471, 19.4
1025, 0.367829, 0.168947, 0.159367, 0.118969, 0.098503, 0.069653, 0.016733, 0.666376, 0.43521, 0.566354, 0.572074, 18.44
1026, 0.380552, 0.167816, 0.16027, 0.113709, 0.094053, 0.067409, 0.016191, 0.742583, 0.42487, 0.596373, 0.596008, 18.92
1027, 0.327725, 0.18653, 0.160709, 0.128953, 0.1079, 0.071062, 0.017121, 0.644876, 0.594681, 0.609179, 0.344641, 19.3
1028, 0.365305, 0.176559, 0.160751, 0.116099, 0.101363, 0.065261, 0.014662, 0.683453, 0.413931, 0.61777, 0.583627, 19.57
1029, 0.379388, 0.162258, 0.155369, 0.121569, 0.0951, 0.071173, 0.015141, 0.682389, 0.593776, 0.595659, 0.380016, 17.3
1030, 0.367483, 0.164226, 0.155451, 0.127487, 0.100529, 0.06923, 0.015594, 0.610211, 0.609464, 0.580977, 0.357383, 19.07
1031, 0.338367, 0.177248, 0.181368, 0.124113, 0.095236, 0.072393, 0.011275, 0.708233, 0.623397, 0.759494, 0.706353, 18.39
1032, 0.327498, 0.17861, 0.163445, 0.1361, 0.104369, 0.076176, 0.013802, 0.607013, 0.498404, 0.654918, 0.494584, 18.78
1033, 0.33752, 0.177735, 0.178161, 0.12359, 0.099417, 0.072039, 0.01154, 0.583996, 0.667445, 0.749444, 0.519775, 19.68
1034, 0.326425, 0.177796, 0.173936, 0.134251, 0.102636, 0.072246, 0.012709, 0.643777, 0.621295, 0.813162, 0.649557, 21.11
1035, 0.336949, 0.173023, 0.176429, 0.128073, 0.102237, 0.070656, 0.012632, 0.534289, 0.727557, 0.762585, 0.487905, 22.55
1036, 0.337929, 0.177814, 0.175997, 0.124331, 0.09783, 0.072182, 0.013917, 0.608398, 0.703832, 0.683713, 0.489126, 19.54
1037, 0.338986, 0.17433, 0.174048, 0.124941, 0.10036, 0.075157, 0.012178, 0.562643, 0.798506, 0.823596, 0.514298, 20.62
1038, 0.352494, 0.172501, 0.172857, 0.12047, 0.097844, 0.072353, 0.011481, 0.633721, 0.693331, 0.706826, 0.455197, 19.03
1039, 0.383155, 0.167668, 0.157535, 0.121967, 0.088445, 0.071693, 0.009538, 0.224962, 0.600121, 0.233699, 0.241488, 20.17
1040, 0.393813, 0.175152, 0.160699, 0.104968, 0.083242, 0.072676, 0.00945, 0.361365, 0.530788, 0.643838, 0.571264, 19.32
1041, 0.369477, 0.181481, 0.157762, 0.115246, 0.092145, 0.073967, 0.009922, 0.409011, 0.551623, 0.734954, 0.526066, 18.99
1042, 0.378535, 0.177553, 0.164523, 0.115204, 0.083521, 0.069325, 0.011338, 0.384783, 0.622185, 0.682661, 0.567441, 20.1
1043, 0.361138, 0.170973, 0.168733, 0.122261, 0.093371, 0.070754, 0.01277, 0.686649, 0.51086, 0.69564, 0.59569, 17.8
1044, 0.381287, 0.175111, 0.153853, 0.118603, 0.088588, 0.070815, 0.011744, 0.282526, 0.431316, 0.488504, 0.567114, 20.54
1045, 0.370335, 0.181162, 0.161389, 0.117602, 0.085953, 0.069215, 0.014344, 0.358777, 0.442491, 0.577566, 0.544104, 19.49
1046, 0.376306, 0.181032, 0.159723, 0.112708, 0.090314, 0.067901, 0.012016, 0.371779, 0.586853, 0.67139, 0.62789, 19.35
1047, 0.37782, 0.178836, 0.155494, 0.11839, 0.090921, 0.066403, 0.012138, 0.425907, 0.503169, 0.653127, 0.540846, 18.44
1048, 0.367574, 0.170449, 0.167852, 0.113986, 0.093141, 0.070889, 0.016109, 0.698906, 0.514455, 0.666618, 0.55393, 19.07
1049, 0.355678, 0.162493, 0.144424, 0.131839, 0.120834, 0.068801, 0.015931, 0.42658, 0.472191, 0.599812, 0.460305, 17.4
1050, 0.358282, 0.178334, 0.17008, 0.111853, 0.091968, 0.073771, 0.015711, 0.69414, 0.552704, 0.577054, 0.527346, 17.27
1051, 0.358331, 0.17593, 0.179665, 0.108442, 0.08962, 0.070945, 0.017066, 0.623927, 0.484866, 0.679773, 0.658178, 18.71
1052, 0.36708, 0.172564, 0.169489, 0.116228, 0.090052, 0.068748, 0.015839, 0.776661, 0.52603, 0.697555, 0.593993, 21.31
1053, 0.368477, 0.176431, 0.165184, 0.110906, 0.094311, 0.070095, 0.014596, 0.609931, 0.511538, 0.648996, 0.526927, 17.73
1054, 0.361754, 0.175622, 0.168917, 0.110715, 0.096418, 0.07043, 0.016144, 0.687255, 0.453014, 0.610417, 0.577768, 18.61
1055, 0.376275, 0.173237, 0.166007, 0.113262, 0.088842, 0.068196, 0.014181, 0.564194, 0.400534, 0.561984, 0.500312, 17.2
1056, 0.363668, 0.175905, 0.16333, 0.115254, 0.096483, 0.069329, 0.016031, 0.621159, 0.506375, 0.589548, 0.504774, 18.07
1057, 0.364644, 0.162537, 0.166359, 0.122328, 0.097734, 0.069392, 0.017005, 0.58505, 0.4766, 0.644948, 0.629911, 17.42
1058, 0.350407, 0.176177, 0.164295, 0.122587, 0.098547, 0.071165, 0.016822, 0.595953, 0.494328, 0.699792, 0.689774, 17.33
1059, 0.361958, 0.174751, 0.166021, 0.12048, 0.092287, 0.069026, 0.015477, 0.603788, 0.424817, 0.619861, 0.584104, 19.99
1060, 0.365619, 0.174959, 0.163447, 0.118241, 0.092667, 0.069495, 0.015572, 0.504415, 0.481025, 0.575438, 0.517435, 17.9
1061, 0.363124, 0.169894, 0.165642, 0.11963, 0.091416, 0.073895, 0.016399, 0.754644, 0.480553, 0.702948, 0.681172, 18.2
