ID, Name, Background, Body, Feathers, Beak, Eyes, Eyewear, Headwear, Outfit
0, #0, Blue, Crescent, Black, Small, Rainbow, , Burger King Hat, McDonalds Shirt
1, #1, Yellow, Guardian, Black, Short, Discerning, , Chick-fil-A Hat, Walmart Shirt
2, #2, Gray, Stark, Gray, Short, Relaxed, , Walmart Hat, McDonalds Shirt
3, #3, Purple, Tranquil, Purple, Long, Open, , Walmart Hat 2, KFC Shirt
4, #4, Blue, Crescent, Black, Small, Angry, , In-N-Out Burger Hat, KFC Shirt
5, #5, Yellow, Stark, Blue, Short, Discerning, , Hooters Hat, Taco Bell Shirt
6, #6, Yellow, Crescent, Gray, Short, Fire, , Ice Cream Cone, 
7, #7, Purple, Tabby, Brown, Small, Open, , Walmart Hat 2, 
8, #8, Blue, Skeleton, Bone, Small, Discerning, , Denny's Hat, 
9, #9, Blue, Sage, Red, Small, Relaxed, , McDonald's Hat, Subway Shirt
10, #10, Pink, Crescent, Gray, Long, Open, , Burger King Hat, Starbucks Apron
11, #11, Yellow, Stark, Purple, Short, Open, , Popcorn, McDonalds Polo
12, #12, Gray, Tranquil, Purple, Small, Angry, , , KFC Shirt
13, #13, Blue, Professor, Pink, Short, Side-Eye, , , KFC Shirt
14, #14, Green, Crescent, Purple, Small, Relaxed, , Taco Bell Hat, Dominos Shirt
15, #15, Purple, Sage, Blue, Short, Relaxed, , Dunkin' Donuts Hat, 
16, #16, Yellow, Professor, Black, Short, Adorable, , Chick-fil-A Hat, Dominos Shirt
17, #17, Gray, Stark, Brown, Long, Open, , Walmart Hat, Burger King Uniform
18, #18, Pink, Brave, Gray, Small, Angry, , Walmart Hat 2, Burger King Uniform
19, #19, Green, Crescent, Gray, Short, Open, , Walmart Hat 2, 
20, #20, Yellow, Crescent, Black, Small, Open, , Ben & Jerry's Bucket Hat, Walmart Shirt
21, #21, Green, Stark, Blue, Small, Side-Eye, , Ben & Jerry's Bucket Hat, Subway Shirt
22, #22, Pink, Guardian, Green, Short, Relaxed, , , KFC Shirt
23, #23, Purple, Brave, Green, Short, Relaxed, , McDonald's Hat, Subway Shirt
24, #24, Gray, Crescent, Brown, Long, Side-Eye, , McDonald's Visor, Janitor Shirt
25, #25, Yellow, Crescent, Purple, Short, Discerning, , Taco, McDonalds Shirt
26, #26, Yellow, Guardian, Red, Small, Open, , McDonald's Bucket Hat, McDonalds Shirt
27, #27, Gray, Tranquil, Gray, Long, Relaxed, , Taco, Burger King Uniform
28, #28, Blue, Guardian, Brown, Small, Relaxed, , Ben & Jerry's Bucket Hat, McDonalds Shirt
29, #29, Yellow, Sage, Black, Small, Side-Eye, , Pizza Hut Hat, McDonalds Shirt
30, #30, Gray, Crescent, White, Short, Relaxed, , Subway Visor 2, McDonalds Shirt
31, #31, Purple, Brave, White, Small, Discerning, , Denny's Hat, Janitor Shirt
32, #32, Green, Guardian, Green, Short, Open, , In-N-Out Burger Hat, McDonalds Polo
33, #33, Gray, Tabby, Black, Small, Discerning, , , Janitor Shirt
34, #34, Yellow, Professor, Purple, Long, Rainbow, , Dominos Hat, Janitor Shirt
35, #35, Yellow, Crescent, Pink, Short, Relaxed, , McDonald's Hat, KFC Shirt
36, #36, Purple, Crescent, White, Short, Discerning, , Sushi, Taco Bell Shirt
37, #37, Green, Tabby, Red, Small, Side-Eye, , McDonald's Hat, Janitor Shirt
38, #38, Pink, Brave, Blue, Long, Open, , Subway Visor 2, Burger King Uniform
39, #39, Green, Crescent, White, Short, Relaxed, , Starbucks Hat, McDonalds Shirt
40, #40, Purple, Guardian, Green, Small, Diamond, , Ben & Jerry's Bucket Hat, KFC Shirt
41, #41, Green, Tranquil, Black, Small, Open, Big Tech, , Subway Shirt
42, #42, Blue, Stark, Black, Short, , Sunglasses, McDonald's Hat, Burger King Uniform
43, #43, Blue, Tranquil, Blue, Long, Open, , Sushi, 
44, #44, Green, Crescent, Brown, Short, Angry, , Dunkin' Donuts Hat, McDonalds Shirt
45, #45, Green, Crescent, Blue, Long, Open, , , KFC Shirt
46, #46, Pink, Professor, White, Short, Open, , Burger King Hat, Janitor Shirt
47, #47, Gray, Tabby, Green, Small, Open, , , Taco Bell Shirt
48, #48, Blue, Stark, Gray, Small, Side-Eye, , Burger King Hat, Dominos Shirt
49, #49, Gray, Stark, Purple, Small, Moon, , McDonald's Visor, Burger King Uniform
50, #50, Purple, Tranquil, Pink, Small, Diamond, , McDonald's Bucket Hat, Walmart Shirt
51, #51, Gray, Crescent, Purple, Short, Open, , McDonald's Visor, 
52, #52, Green, Tabby, Gray, Small, Relaxed, , Dunkin' Donuts Visor, McDonalds Polo
53, #53, Green, Tabby, Green, Short, Discerning, , Hooters Hat, Dominos Shirt
54, #54, Blue, Crescent, Green, Short, , Gazelles, Twin Peaks Hat, Walmart Shirt
55, #55, Gray, Crescent, Green, Small, Open, , , Taco Bell Shirt
56, #56, Gray, Crescent, Black, Short, Heart, , McDonald's Visor, Walmart Shirt
57, #57, Green, Robot, Metal, Short, Angry, , Hamburger, Janitor Shirt
58, #58, Yellow, Sage, Gray, Small, Adorable, , Hooters Hat, Subway Shirt
59, #59, Green, Crescent, Black, Long, Side-Eye, , McDonald's Hat, 
60, #60, Pink, Crescent, White, Small, Diamond, , Hamburger, 
61, #61, Pink, Ruby Skeleton, Legendary Bone, Small, Angry, , Denny's Hat, 
62, #62, Gray, Tabby, Brown, Short, , Gazelles, Walmart Hat, McDonalds Shirt
63, #63, Gray, Crescent, Red, Short, Open, , Chick-fil-A Hat, Subway Shirt
64, #64, Yellow, Brave, Green, Small, , 3d Glasses, McDonald's Visor, Subway Shirt
65, #65, Blue, Professor, Gray, Short, , Sunglasses, Taco, KFC Shirt
66, #66, Blue, Crescent, Gray, Small, Open, , Walmart Hat 2, Janitor Shirt
67, #67, Blue, Professor, White, Small, Open, , Walmart Hat, Janitor Shirt
68, #68, Green, Crescent, Blue, Small, Side-Eye, , Ben & Jerry's Bucket Hat, Burger King Uniform
69, #69, Blue, Golden, Legendary Crescent, Small, Open, , McDonald's Hat, McDonalds Shirt
70, #70, Blue, Tranquil, Black, Short, Discerning, , In-N-Out Burger Hat, Walmart Shirt
71, #71, Gray, Tabby, Red, Short, Angry, , Burger King Hat, Dominos Shirt
72, #72, Yellow, Crescent, Brown, Short, Open, , Hooters Hat, 
73, #73, Gray, Tabby, Gray, Small, Side-Eye, , Burger King Hat, Burger King Uniform
74, #74, Pink, Tabby, Black, Small, Adorable, , McDonald's Hat, 
75, #75, Green, Crescent, Blue, Long, Open, , McDonald's Visor, McDonalds Shirt
76, #76, Blue, Tabby, Brown, Short, , Gazelles, Walmart Hat, 
77, #77, Green, Crescent, White, Small, Angry, , Taco, 
78, #78, Gray, Tranquil, Red, Short, Angry, , Wendy's Hat, McDonalds Shirt
