ID, Name, Background, Body, Feathers, Beak, Eyes, Eyewear, Headwear, Outerwear
0, #0, Green, Tabby, Gray, Small, Angry, , , Hoodie Down
1, #1, Pink, Tabby, Red, Short, Rainbow, , , Jean Jacket
2, #2, Purple, Stark, Blue, Small, Side-eye, , Skully, 
3, #3, Yellow, Professor, White, Long, Angry, Eyepatch, , 
4, #4, Blue, Stark, White, Long, Angry, , Backwards Hat, 
5, #5, Yellow, Brave, Purple, Long, Side-eye, , , 
6, #6, Purple, Crescent, Black, Short, Discerning, , Lincoln, 
7, #7, Pink, Crescent, Gray, Short, Discerning, , Moon Hat, Punk Jacket
8, #8, Blue, Tranquil, Blue, Short, , Gazelles, Mohawk (Green), 
9, #9, Purple, Crescent, Red, Small, , Jobs Glasses, Moon Hat, 
10, #10, Green, Crescent, Blue, Long, Side-eye, , Backwards Hat, 
11, #11, Pink, Crescent, Blue, Long, Rainbow, , , 
12, #12, Yellow, Robot, Metal, Small, , Visor, Chromie, Punk Jacket
13, #13, Green, Guardian, Black, Short, , Gazelles, , 
14, #14, Pink, Crescent, Red, Small, Open, , Lincoln, Gold Chain
15, #15, Gray, Golden, Legendary Emperor, Small, Angry, , Skully, 
16, #16, Pink, Crescent, Blue, Short, Open, , Captain's Cap, 
17, #17, Purple, Stark, White, Small, Rainbow, , Headphones, 
18, #18, Blue, Guardian, White, Long, Discerning, , , 
19, #19, Purple, Guardian, Brown, Long, Fire, , , 
20, #20, Pink, Tabby, Brown, Long, , 3D Glasses, Fire, 
21, #21, Purple, Brave, White, Small, Discerning, , , 
22, #22, Pink, Emperor, Black, Short, Moon, , , 
23, #23, Blue, Stark, Brown, Short, , Black-rimmed Glasses, Moon Hat, 
24, #24, Green, Guardian, Pink, Short, Discerning, , , 
25, #25, Blue, Crescent, Brown, Short, Diamond, , Raincloud, 
26, #26, Blue, Stark, Gray, Long, Side-eye, , Forest Ranger, 
27, #27, Purple, Crescent, Brown, Short, Discerning, , Headband, 
28, #28, Yellow, Tabby, Pink, Short, Discerning, , Fire, 
29, #29, Green, Tabby, Black, Small, Relaxed, , Raincloud, 
30, #30, Purple, Crescent, Blue, Small, Discerning, , Beanie, 
31, #31, Pink, Crescent, White, Short, Discerning, , Witch's Hat, 
32, #32, Blue, Professor, Gray, Small, Open, Half-moon Spectacles, , 
33, #33, Purple, Stark, Brown, Small, Relaxed, , Moon Hat, 
34, #34, Pink, Professor, White, Short, Side-eye, , , 
35, #35, Purple, Emperor, Gray, Long, Discerning, , , 
36, #36, Pink, Robot, Metal, Short, Open, Big Tech, Forest Ranger, 
37, #37, Yellow, Skeleton, Bone, Long, , Sunglasses, Halo, 
38, #38, Pink, Guardian, Red, Short, Relaxed, , Queen's Crown, Bomber Jacket
39, #39, Green, Guardian, Black, Long, Open, , Tiara, 
