number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
2001, 0.356614, 0.172652, 0.17179, 0.116033, 0.098366, 0.076593, 0.007952, 0.615685, 0.71852, 0.590674, 0.525944, 17.91
2002, 0.334222, 0.173483, 0.167878, 0.133773, 0.110275, 0.071935, 0.008435, 0.563357, 0.61568, 0.456746, 0.387149, 18.08
2003, 0.36955, 0.166642, 0.151954, 0.129246, 0.094851, 0.069939, 0.017818, 0.609342, 0.49869, 0.492302, 0.491832, 18.21
2004, 0.362586, 0.162568, 0.184587, 0.112782, 0.101213, 0.069416, 0.006848, 0.555332, 0.503545, 0.719041, 0.554437, 21.18
2005, 0.350958, 0.170234, 0.160774, 0.13396, 0.098662, 0.068554, 0.016858, 0.445966, 0.516495, 0.596076, 0.642708, 19.11
2006, 0.348458, 0.172824, 0.164598, 0.128045, 0.107796, 0.068396, 0.009883, 0.676142, 0.565445, 0.603092, 0.500436, 18.93
2007, 0.351412, 0.174244, 0.162693, 0.127874, 0.106068, 0.070064, 0.007645, 0.621571, 0.506889, 0.502606, 0.378586, 18.36
2008, 0.346522, 0.174025, 0.159397, 0.13672, 0.103638, 0.070745, 0.008954, 0.53428, 0.440508, 0.433935, 0.488471, 19.28
2009, 0.391367, 0.164116, 0.175607, 0.106482, 0.09118, 0.065748, 0.0055, 0.514097, 0.390228, 0.592415, 0.600354, 17
2010, 0.362606, 0.16846, 0.149451, 0.128962, 0.105866, 0.063926, 0.020729, 0.516525, 0.63642, 0.502701, 0.283365, 17.46
2011, 0.324351, 0.171071, 0.168408, 0.135988, 0.106194, 0.077602, 0.016386, 0.539402, 0.606901, 0.692997, 0.612189, 19.29
2012, 0.321868, 0.178732, 0.169308, 0.12856, 0.112148, 0.07331, 0.016075, 0.615435, 0.746525, 0.73278, 0.532406, 17.76
2013, 0.375123, 0.164684, 0.150985, 0.125629, 0.102408, 0.061942, 0.01923, 0.654869, 0.566126, 0.655999, 0.681096, 18.56
2014, 0.356426, 0.171551, 0.169331, 0.118075, 0.109963, 0.066415, 0.00824, 0.608651, 0.75573, 0.600797, 0.284411, 18.24
2015, 0.374088, 0.163066, 0.145492, 0.131872, 0.10029, 0.066084, 0.019108, 0.566739, 0.406103, 0.464929, 0.386808, 18
2016, 0.352453, 0.170027, 0.166294, 0.121574, 0.097311, 0.067394, 0.024947, 0.746427, 0.595211, 0.584675, 0.441456, 18.34
2017, 0.375962, 0.165638, 0.137687, 0.136813, 0.101555, 0.063246, 0.019098, 0.409374, 0.339976, 0.431608, 0.378062, 18.38
2018, 0.365393, 0.166194, 0.160431, 0.122816, 0.095154, 0.068882, 0.021131, 0.544074, 0.499554, 0.48953, 0.344952, 18.89
2019, 0.357968, 0.175214, 0.165197, 0.124633, 0.098797, 0.069819, 0.008372, 0.548043, 0.583858, 0.463704, 0.448959, 18.96
2020, 0.333706, 0.175732, 0.156429, 0.141464, 0.105465, 0.067661, 0.019544, 0.603833, 0.642751, 0.625444, 0.366865, 20.42
2021, 0.373905, 0.184205, 0.148175, 0.123246, 0.09225, 0.063338, 0.01488, 0.391888, 0.580997, 0.47463, 0.403781, 19.32
2022, 0.349336, 0.174883, 0.162186, 0.128813, 0.101965, 0.066858, 0.015959, 0.669084, 0.720268, 0.681595, 0.524698, 17.79
2023, 0.337286, 0.170992, 0.161114, 0.132794, 0.10514, 0.075581, 0.017092, 0.623351, 0.633516, 0.644357, 0.510407, 19.91
2024, 0.383443, 0.1775, 0.147788, 0.116456, 0.094273, 0.064395, 0.016145, 0.534006, 0.627044, 0.644295, 0.529321, 17.61
2025, 0.390088, 0.177314, 0.14539, 0.115865, 0.090713, 0.063551, 0.017078, 0.558962, 0.621571, 0.511423, 0.386775, 17.92
2026, 0.333601, 0.172607, 0.164908, 0.13445, 0.107665, 0.071037, 0.015732, 0.546319, 0.733536, 0.679524, 0.607581, 19.4
2027, 0.343151, 0.165474, 0.156757, 0.134295, 0.105226, 0.076195, 0.018902, 0.501328, 0.609313, 0.629365, 0.528092, 18.72
2028, 0.35919, 0.166955, 0.152743, 0.13228, 0.102647, 0.067024, 0.01916, 0.57525, 0.564468, 0.581289, 0.421319, 18.29
2029, 0.370912, 0.174214, 0.151563, 0.125561, 0.096637, 0.060938, 0.020176, 0.530094, 0.426079, 0.602373, 0.557744, 21.03
2030, 0.38637, 0.175157, 0.144135, 0.11872, 0.093803, 0.065087, 0.016728, 0.468493, 0.576734, 0.598735, 0.444134, 17.66
2031, 0.362268, 0.171822, 0.161996, 0.126829, 0.097569, 0.072045, 0.007471, 0.79827, 0.528757, 0.582878, 0.514488, 17.42
2032, 0.363444, 0.173465, 0.164095, 0.118125, 0.101161, 0.071275, 0.008435, 0.73873, 0.480834, 0.53134, 0.452882, 20.11
2033, 0.381904, 0.181707, 0.14417, 0.120556, 0.092301, 0.063248, 0.016114, 0.530304, 0.521243, 0.559071, 0.389914, 20.65
2034, 0.349482, 0.174667, 0.153683, 0.131665, 0.106122, 0.068176, 0.016204, 0.593569, 0.755096, 0.620923, 0.431909, 20.06
2035, 0.377272, 0.177565, 0.154014, 0.124312, 0.086364, 0.065241, 0.015231, 0.371498, 0.568601, 0.504847, 0.425962, 18.24
2036, 0.345291, 0.173488, 0.158224, 0.129454, 0.106309, 0.070231, 0.017003, 0.565939, 0.62284, 0.598344, 0.501557, 16.54
2037, 0.364026, 0.166311, 0.15479, 0.127081, 0.10018, 0.065525, 0.022087, 0.647477, 0.590163, 0.615702, 0.484491, 16.22
2038, 0.362105, 0.175944, 0.158805, 0.129877, 0.099845, 0.064948, 0.008476, 0.557718, 0.527155, 0.505684, 0.534403, 18.06
2039, 0.360699, 0.17977, 0.169122, 0.117756, 0.092671, 0.07268, 0.007301, 0.567663, 0.595454, 0.43449, 0.372561, 17.48
2040, 0.373514, 0.165497, 0.153589, 0.121806, 0.099905, 0.063732, 0.021957, 0.531264, 0.48359, 0.436067, 0.415985, 17.4
2041, 0.374784, 0.162169, 0.158749, 0.122881, 0.100213, 0.064731, 0.016472, 0.594091, 0.551136, 0.570706, 0.38056, 18.86
2042, 0.360469, 0.172532, 0.170075, 0.11922, 0.094098, 0.07437, 0.009236, 0.530932, 0.505161, 0.413328, 0.347633, 18.01
2043, 0.324676, 0.180841, 0.15973, 0.142316, 0.105555, 0.069788, 0.017095, 0.531769, 0.687803, 0.687816, 0.454129, 20.97
2044, 0.352959, 0.167691, 0.162384, 0.130339, 0.100901, 0.069359, 0.016367, 0.489383, 0.710682, 0.655229, 0.569043, 20.05
2045, 0.374113, 0.167251, 0.162339, 0.122653, 0.097852, 0.067175, 0.008619, 0.679732, 0.499994, 0.543228, 0.36739, 17.8
2046, 0.356216, 0.173961, 0.162744, 0.120136, 0.100184, 0.07762, 0.009139, 0.674512, 0.553489, 0.56556, 0.463956, 19.11
2047, 0.366651, 0.167992, 0.165441, 0.121423, 0.100773, 0.070515, 0.007206, 0.680687, 0.597937, 0.588494, 0.371927, 18.3
2048, 0.383896, 0.165443, 0.161744, 0.114961, 0.095481, 0.070538, 0.007937, 0.70316, 0.497007, 0.550154, 0.425729, 16.34
2049, 0.345191, 0.176943, 0.172265, 0.119797, 0.103121, 0.074446, 0.008237, 0.615565, 0.493918, 0.523491, 0.553325, 16.33
