ID, Name, Background, Base, Eyes, Head, Clothes, Name 1/1
0, Starbirds #0, Blue, Black Fighter, Green Shades, Blue Bucket, Blue scarf, 
1, Starbirds #1, Pink, Red Royal, Chill, Beer Hat, Orange SB, 
2, Starbirds #2, Clouds, Brown Scout, Red Shades, Moonrock, Blue Shirt, 
3, Starbirds #3, Green, Red, Red Shades, Grey Hat, Red Scarf, 
4, Starbirds #4, Fire, Grey Scout, Angry Eyes, None, Red Scarf, 
5, Starbirds #5, Gradient, Grey Protector, Chill, Moon, None, 
6, Starbirds #6, Gradient, Blue Protector, Ruby, Indian, Red SB, 
7, Starbirds #7, Pink, Blue Protector, Round glasses, Blue Bucket, Diamons Necklace, 
8, Starbirds #8, Purple Space, Brown Scout, Stars, Ear Muffs, Gold chain, 
9, Starbirds #9, Grey, Red Royal, Green Shades, Moon, Gold Robe, 
10, Starbirds #10, Purple, Grey Fighter, Sunset Shades, White Bucket Hat, Green Scarf, 
11, Starbirds #11, Pink, Gold Fighter, Round glasses, Low Battery, Cyber Jacket, 
12, Starbirds #12, Clouds, Purple Scout, Tired, Gold, Orange SB, 
13, Starbirds #13, Grey, Brown Scout, Round glasses, Gold, SB Tee, 
14, Starbirds #14, Yellow, Black Scout, Sleeping, Wizard Hat, Red Scarf, 
15, Starbirds #15, Pink, Black Protector, Green Shades, Baby Seal, Gold chain, 
16, Starbirds #16, Purple, Brown Protector, Aviators, White Bucket Hat, Blue scarf, 
17, Starbirds #17, Green, Brown Figher, Sleeping, Ear Muffs, Cyber Jacket, 
18, Starbirds #18, Gradient, Black Protector, Derp, Ear Muffs, Diamons Necklace, 
19, Starbirds #19, Yellow, Black Scout, Red Shades, Robot Antenna, Blue scarf, 
20, Starbirds #20, Yellow, Red, Angry Eyes, Black Red, Red SB, 
21, Starbirds #21, Blue, Purple Protector, Wide, Wifi, Cyber Jacket, 
22, Starbirds #22, Fire, Brown Protector, Ruby, None, SB Tee, 
23, Starbirds #23, Green, Purple Scout, Chill, Wizard Hat, Red SB, 
24, Starbirds #24, Green, Red Protector, Derp, Moon, Blue scarf, 
25, Starbirds #25, Pink, Grey Fighter, Red Shades, Gold, Diamons Necklace, 
26, Starbirds #26, Green, Blue Royal, Chill, Grey Hat, Halo, 
27, Starbirds #27, Yellow, Red Royal, Tired, Wizard Hat, Green Scarf, 
28, Starbirds #28, Green, Purple Scout, Vipers, Moonrock, Gold chain, 
29, Starbirds #29, Gradient, Purple Fighter, Wide, None, None, 
30, Starbirds #30, Green Space, Grey Royal, Vipers, White Bucket Hat, Blue Shirt, 
31, Starbirds #31, Purple, Purple Fighter, Chill, Indian, SB Tee, 
32, Starbirds #32, Green, Brown Protector, Chill, None, Gold chain, 
33, Starbirds #33, Yellow, Brown Scout, Red Shades, Baby Seal, SB Tee, 
34, Starbirds #34, Grey, Red Fighter, Red Shades, Wizard Hat, None, 
35, Starbirds #35, Pink, Black Fighter, Tired, Wizard Hat, Gold Robe, 
36, Starbirds #36, Green Space, Grey Scout, Red Shades, Cowboy, Diamons Necklace, 
37, Starbirds #37, Yellow, Grey Protector, Red Shades, Black Red, Green SB, 
38, Starbirds #38, Blue, Blue Scout, Aviators, Gold, Blue Hoodie, 
39, Starbirds #39, Yellow, Blue Fighter, Green Shades, Ded, Blue Shirt, 
40, Starbirds #40, Yellow, Purple Fighter, Wide, Cyborg Antlers, Cyber Jacket, 
41, Starbirds #41, Green Space, Brown Protector, Vipers, Cyborg Antlers, Gold chain, 
42, Starbirds #42, Pink, Blue Scout, Round glasses, Hair, Green Scarf, 
43, Starbirds #43, Purple, Blue Scout, Green Eyes, Hair, SB Tee, 
44, Starbirds #44, Grey, Brown Figher, Neon Shades, Cyborg Antlers, Green Scarf, 
45, Starbirds #45, Purple, Red Royal, Derp, Ded, Gold Robe, 
46, Starbirds #46, Grey, Black Fighter, Vipers, Moon, None, 
47, Starbirds #47, Green, Grey Fighter, Red Shades, Blue Bucket, Red Scarf, 
48, Starbirds #48, Green, Grey Scout, Wide, Red Bucket, Blue Hoodie, 
49, Starbirds #49, Clouds, Gold Fighter, Sunset Shades, Baby Seal, Cyber Jacket, 
50, Starbirds #50, Green, Black Scout, Derp, Black Red, Green SB, 
51, Starbirds #51, Green Space, Brown Protector, Chill, Baby Seal, None, 
52, Starbirds #52, Grey, Red Protector, Sunset Shades, Moonrock, Red SB, 
53, Starbirds #53, Grey, Grey Scout, Tired, Hair, SB Tee, 
54, Starbirds #54, Blue, Grey Protector, Derp, Electricity, Red SB, 
55, Starbirds #55, Pink, Brown Figher, Derp, Star, None, 
56, Starbirds #56, Green, Purple Scout, Stars, Moonrock, None, 
57, Starbirds #57, Blue, Blue Scout, Round glasses, Black Red, Blue Shirt, 
58, Starbirds #58, Grey, Blue Protector, Neon Shades, Red Bucket, Blue Hoodie, 
59, Starbirds #59, Yellow, Blue Protector, Neon Shades, Moon, Green Scarf, 
60, Starbirds #60, Yellow, Red, Red Shades, None, SB Tee, 
61, Starbirds #61, Clouds, Purple Protector, Angry Eyes, Star, Cyber Jacket, 
62, Starbirds #62, Clouds, Blue Fighter, Aviators, Ear Muffs, None, 
